method,sequence,accuracy,recall,fps,reinit,frames
pmmh,birds1,0.545681,0.497066,12.5556,90,339
pmmh,birds1,0.544553,0.525281,16.95,93,339
pmmh,birds1,0.539935,0.520444,12.1071,89,339
pmmh,birds1,0.542715,0.53669,11.6897,91,339
pmmh,birds1,0.542729,0.50334,17.8421,101,339
pmmh,birds1,0.522928,0.518043,12.5556,101,339
pmmh,birds1,0.550804,0.5268,12.5556,98,339
pmmh,birds1,0.527364,0.517296,16.95,97,339
pmmh,birds1,0.541042,0.519174,13.56,109,339
pmmh,birds1,0.531255,0.529373,12.5556,105,339
pmmh,birds1,0.539704,0.512306,13.0385,100,339
pmmh,birds1,0.515974,0.510235,12.5556,105,339
pmmh,birds1,0.533847,0.53514,16.95,99,339
tracker,birds1,0.527839,0.525613,113,91,339
tracker,birds1,0.534955,0.53727,113,104,339
tracker,birds1,0.547995,0.549882,84.75,91,339
tracker,birds1,0.519989,0.505316,84.75,91,339
tracker,birds1,0.552591,0.540165,84.75,102,339
tracker,birds1,0.527408,0.532407,84.75,105,339
tracker,birds1,0.540215,0.51805,84.75,96,339
tracker,birds1,0.522706,0.514951,84.75,101,339
tracker,birds1,0.530576,0.54324,84.75,97,339
tracker,birds1,0.522687,0.522406,84.75,96,339
tracker,birds1,0.533291,0.513221,84.75,101,339
tracker,birds1,0.534957,0.526938,84.75,88,339
tracker,birds1,0.526045,0.537163,84.75,101,339
tracker,birds1,0.514237,0.525758,84.75,113,339
tracker,birds1,0.544462,0.551111,84.75,95,339
pmmh,birds2,0.461091,0.583998,7.7,33,539
pmmh,birds2,0.532161,0.531219,9.2931,28,539
pmmh,birds2,0.447738,0.488461,8.55556,41,539
pmmh,birds2,0.537229,0.507632,6.82278,29,539
pmmh,birds2,0.507658,0.636275,5.33663,23,539
pmmh,birds2,0.441498,0.552461,5.33663,5,539
pmmh,birds2,0.469863,0.446463,9.45614,35,539
pmmh,birds2,0.523016,0.612296,7.81159,4,539
pmmh,birds2,0.369893,0.447864,4.94495,6,539
pmmh,birds2,0.495184,0.44366,6.91026,38,539
pmmh,birds2,0.426071,0.559761,5.23301,20,539
pmmh,birds2,0.371857,0.475587,5.5,34,539
pmmh,birds2,0.438263,0.545504,5.5567,38,539
pmmh,birds2,0.498583,0.614511,5.23301,9,539
pmmh,birds2,0.466805,0.48839,8.42188,6,539
tracker,birds2,0.443271,0.53683,49,7,539
tracker,birds2,0.380069,0.49395,49,28,539
tracker,birds2,0.496823,0.621625,44.9167,8,539
tracker,birds2,0.506792,0.563454,53.9,21,539
tracker,birds2,0.440636,0.510673,53.9,36,539
tracker,birds2,0.479799,0.610674,49,24,539
tracker,birds2,0.549481,0.492444,67.375,11,539
tracker,birds2,0.409382,0.430051,53.9,30,539
tracker,birds2,0.456439,0.508052,49,40,539
tracker,birds2,0.410504,0.497183,44.9167,6,539
tracker,birds2,0.521384,0.510382,53.9,11,539
tracker,birds2,0.505622,0.637908,44.9167,23,539
tracker,birds2,0.453067,0.555762,44.9167,10,539
tracker,birds2,0.529521,0.579349,53.9,22,539
tracker,birds2,0.448735,0.54449,49,7,539
pmmh,blanket,0.721936,0.654101,11.25,1,225
pmmh,blanket,0.723306,0.636578,11.8421,1,225
pmmh,blanket,0.74179,0.639932,11.8421,1,225
pmmh,blanket,0.772808,0.706844,11.25,3,225
pmmh,blanket,0.796513,0.744479,17.3077,2,225
pmmh,blanket,0.734721,0.629389,11.25,1,225
