method,sequence,accuracy,recall,fps,reinit,frames
pmmh,bag,0.430058,0.753226,2.9697,20,196
pmmh,bag,0.578529,0.81543,2.22727,20,196
pmmh,bag,0.370975,0.68624,3.01538,32,196
pmmh,bag,0.597586,0.764385,2.64865,27,196
pmmh,bag,0.363992,0.69095,4.9,27,196
pmmh,bag,0.486165,0.783344,2.54545,20,196
pmmh,bag,0.398405,0.70326,5.02564,21,196
pmmh,bag,0.352436,0.667396,4.78049,26,196
pmmh,bag,0.414974,0.700518,4.78049,29,196
pmmh,bag,0.363121,0.725495,2.30588,26,196
pmmh,bag,0.438794,0.695192,3.32203,36,196
pmmh,bag,0.35568,0.655582,5.2973,30,196
pmmh,bag,0.383259,0.720247,2.8,27,196
pmmh,bag,0.486553,0.697771,2.88235,41,196
pmmh,bag,0.532037,0.748316,3.16129,29,196
tracker,bag,0.494084,0.767245,49,24,196
tracker,bag,0.608773,0.808348,32.6667,23,196
tracker,bag,0.473708,0.770712,32.6667,21,196
tracker,bag,0.602614,0.908041,24.5,3,196
tracker,bag,0.416527,0.686493,65.3333,40,196
tracker,bag,0.373752,0.635201,65.3333,36,196
tracker,bag,0.57376,0.823077,39.2,15,196
tracker,bag,0.384614,0.676239,65.3333,31,196
tracker,bag,0.366043,0.688997,65.3333,35,196
tracker,bag,0.387439,0.688967,65.3333,23,196
tracker,bag,0.709434,0.918617,28,3,196
tracker,bag,0.439922,0.723875,65.3333,34,196
tracker,bag,0.417278,0.700633,98,33,196
tracker,bag,0.546354,0.828717,39.2,14,196
tracker,bag,0.68839,0.890911,24.5,6,196
pmmh,ball1,0.366492,0.756749,10.5,5,105
pmmh,ball1,0.205925,0.670094,15,8,105
pmmh,ball1,0.574432,0.804218,15,5,105
pmmh,ball1,0.357061,0.732744,10.5,7,105
pmmh,ball1,0.422871,0.734559,11.6667,6,105
pmmh,ball1,0.271652,0.695084,15,9,105
pmmh,ball1,0.555116,0.79555,13.125,6,105
pmmh,ball1,0.432079,0.738228,10.5,8,105
pmmh,ball1,0.564798,0.808718,10.5,5,105
pmmh,ball1,0.461019,0.772874,15,8,105
pmmh,ball1,0.347093,0.708774,15,8,105
pmmh,ball1,0.309382,0.707118,15,10,105
pmmh,ball1,0.564367,0.756945,15,9,105
pmmh,ball1,0.536469,0.842721,8.75,6,105
pmmh,ball1,0.251925,0.620724,15,10,105
tracker,ball1,0.422328,0.703411,105,8,105
tracker,ball1,0.41399,0.771361,105,6,105
tracker,ball1,0.574575,0.902021,35,1,105
tracker,ball1,0.375099,0.689199,105,6,105
tracker,ball1,0.404078,0.763616,105,7,105
tracker,ball1,0.394054,0.694237,105,9,105
tracker,ball1,0.574226,0.843394,52.5,5,105
tracker,ball1,0.423315,0.788129,105,5,105
tracker,ball1,0.650272,0.890956,35,2,105
tracker,ball1,0.753957,0.890094,52.5,3,105
tracker,ball1,0.433267,0.86967,35,1,105
tracker,ball1,0.611564,0.874701,21,2,105
tracker,ball1,0.725101,0.857938,52.5,2,105
tracker,ball1,0.497834,0.735158,105,6,105
tracker,ball1,0.450284,0.698291,105,7,105
pmmh,ball2,0.659056,0.779439,41,7,41
pmmh,ball2,0.683476,0.761379,41,7,41
pmmh,ball2,0.732258,0.864873,41,4,41
pmmh,ball2,0.805333,0.875645,13.6667,4,41
pmmh,ball2,0.781005,0.867764,20.5,4,41
pmmh,ball2,0.732327,0.805015,20.5,7,41
pmmh,ball2,0.537149,0.689398,20.5,9,41
pmmh,ball2,0.854052,0.914919,20.5,3,41
pmmh,ball2,0.805431,0.900891,20.5,3,41
pmmh,ball2,0.7808,0.846156,20.5,5,41
pmmh,ball2,0.634602,0.750596,20.5,6,41
pmmh,ball2,0.805349,0.878284,13.6667,4,41
pmmh,ball2,0.732382,0.855198,20.5,4,41
pmmh,ball2,0.707751,0.810644,41,6,41
pmmh,ball2,0.512656,0.654209,41,10,41
tracker,ball2,0.82964,0.881686,41,4,41
tracker,ball2,0.805318,0.874361,41,4,41
tracker,ball2,0.659037,0.775996,41,8,41
tracker,ball2,0.780934,0.868504,41,4,41
tracker,ball2,0.805405,0.867993,41,4,41
tracker,ball2,0.707992,0.831941,41,4,41
tracker,ball2,0.829678,0.885608,41,4,41
tracker,ball2,0.634625,0.749716,41,7,41
tracker,ball2,0.829637,0.880331,41,4,41
tracker,ball2,0.78095,0.851032,41,5,41
tracker,ball2,0.732174,0.817259,41,6,41
tracker,ball2,0.805346,0.878435,41,4,41
tracker,ball2,0.707835,0.828148,41,5,41
tracker,ball2,0.756597,0.850984,41,5,41
tracker,ball2,0.780862,0.843817,41,4,41
pmmh,basketball,0.501196,0.85901,5.41045,11,725
pmmh,basketball,0.651365,0.873664,4.86577,12,725
pmmh,basketball,0.585478,0.858603,4.61783,25,725
pmmh,basketball,0.719944,0.93284,3.58911,11,725
pmmh,basketball,0.636889,0.896375,6.71296,15,725
pmmh,basketball,0.664271,0.882684,5,27,725
pmmh,basketball,0.542576,0.846038,5,36,725
pmmh,basketball,0.457289,0.839673,4.89865,11,725
pmmh,basketball,0.565938,0.866069,5.06993,13,725
pmmh,basketball,0.730964,0.921546,6.35965,11,725
pmmh,basketball,0.508809,0.838386,5.14184,17,725
pmmh,basketball,0.647598,0.876043,4.70779,17,725
pmmh,basketball,0.706109,0.902174,4.31548,13,725
pmmh,basketball,0.53432,0.843139,7.39796,35,725
pmmh,basketball,0.607894,0.874355,7.39796,22,725
tracker,basketball,0.557703,0.876561,32.9545,21,725
tracker,basketball,0.645101,0.875414,29,12,725
tracker,basketball,0.570918,0.866346,40.2778,26,725
tracker,basketball,0.569499,0.891471,27.8846,12,725
tracker,basketball,0.557875,0.854505,36.25,16,725
tracker,basketball,0.649555,0.87084,31.5217,11,725
tracker,basketball,0.492291,0.854934,48.3333,24,725
tracker,basketball,0.593151,0.87167,42.6471,19,725
tracker,basketball,0.518063,0.85683,42.6471,20,725
tracker,basketball,0.683588,0.876621,30.2083,19,725
tracker,basketball,0.611796,0.864346,40.2778,22,725
tracker,basketball,0.584794,0.865206,40.2778,20,725
tracker,basketball,0.578484,0.860139,48.3333,17,725
tracker,basketball,0.652106,0.894991,34.5238,16,725
tracker,basketball,0.628413,0.881833,42.6471,22,725
pmmh,birds1,0.453227,0.578686,15.4091,120,339
pmmh,birds1,0.397946,0.575083,16.95,109,339
pmmh,birds1,0.441063,0.544475,17.8421,131,339
pmmh,birds1,0.412417,0.557948,18.8333,123,339
pmmh,birds1,0.47081,0.581382,15.4091,126,339
pmmh,birds1,0.435505,0.550323,16.1429,132,339
pmmh,birds1,0.429586,0.546366,16.95,133,339
pmmh,birds1,0.41811,0.559065,15.4091,124,339
pmmh,birds1,0.444384,0.569889,15.4091,126,339
pmmh,birds1,0.424063,0.566249,18.8333,124,339
pmmh,birds1,0.444424,0.574476,17.8421,122,339
pmmh,birds1,0.464968,0.592284,14.125,116,339
pmmh,birds1,0.412219,0.553888,17.8421,122,339
pmmh,birds1,0.421049,0.572278,16.1429,119,339
pmmh,birds1,0.417977,0.564474,16.1429,127,339
tracker,birds1,0.456064,0.578176,169.5,127,339
tracker,birds1,0.477122,0.622007,84.75,112,339
tracker,birds1,0.470686,0.57726,339,130,339
tracker,birds1,0.429848,0.581533,169.5,120,339
tracker,birds1,0.426789,0.568873,339,126,339
tracker,birds1,0.450176,0.562044,339,133,339
tracker,birds1,0.438904,0.591065,339,116,339
tracker,birds1,0.458875,0.568642,339,131,339
tracker,birds1,0.464861,0.568522,339,131,339
tracker,birds1,0.453345,0.592,339,119,339
tracker,birds1,0.447187,0.553884,339,135,339
tracker,birds1,0.43854,0.574196,169.5,121,339
tracker,birds1,0.456272,0.584466,169.5,126,339
tracker,birds1,0.458827,0.555877,339,135,339
tracker,birds1,0.470737,0.581633,339,126,339
pmmh,birds2,0.86069,0.956691,4.72807,5,539
pmmh,birds2,0.825679,0.930216,4.60684,8,539
