method,sequence,accuracy,recall,fps,reinit,num_frames
pmmh,marching,0.560027,0.60109,2.01,7,201
pmmh,marching,0.501705,0.536239,2.05102,9,201
pmmh,marching,0.524737,0.581324,3,9,201
pmmh,marching,0.593665,0.68823,1.8785,8,201
pmmh,marching,0.59481,0.64482,3.14062,11,201
pmmh,marching,0.549198,0.598791,3.35,18,201
pmmh,marching,0.515562,0.502207,2.11579,8,201
pmmh,marching,0.520081,0.566481,2.0303,9,201
pmmh,marching,0.618201,0.643165,3.09231,7,201
pmmh,marching,0.548563,0.564996,2.11579,4,201
pmmh,marching,0.607898,0.625867,2.09375,5,201
pmmh,marching,0.609959,0.657089,3.29508,9,201
tracker,marching,0.60919,0.54943,20.1,5,201
tracker,marching,0.513362,0.552319,16.75,7,201
tracker,marching,0.574401,0.64588,16.75,6,201
tracker,marching,0.538602,0.589656,16.75,3,201
tracker,marching,0.609816,0.65757,16.75,6,201
tracker,marching,0.707481,0.600761,22.3333,4,201
tracker,marching,0.530042,0.549501,20.1,6,201
tracker,marching,0.601999,0.632392,18.2727,12,201
tracker,marching,0.53997,0.541223,18.2727,9,201
tracker,marching,0.579946,0.659108,16.75,6,201
tracker,marching,0.555014,0.603428,18.2727,10,201
tracker,marching,0.622798,0.612302,18.2727,9,201
tracker,marching,0.576799,0.636274,16.75,10,201
tracker,marching,0.571651,0.609866,18.2727,5,201
tracker,marching,0.616543,0.641224,18.2727,6,201
pmmh,matrix,0.610898,0.616897,10,11,100
pmmh,matrix,0.528128,0.504739,8.33333,11,100
pmmh,matrix,0.530278,0.526811,9.09091,12,100
pmmh,matrix,0.61308,0.586212,9.09091,13,100
pmmh,matrix,0.536889,0.527376,9.09091,12,100
pmmh,matrix,0.517648,0.495582,11.1111,10,100
pmmh,matrix,0.625047,0.600498,11.1111,12,100
pmmh,matrix,0.587143,0.573637,11.1111,12,100
pmmh,matrix,0.603428,0.583236,10,14,100
pmmh,matrix,0.578158,0.567695,12.5,11,100
pmmh,matrix,0.560082,0.527412,10,15,100
pmmh,matrix,0.544331,0.524894,8.33333,12,100
pmmh,matrix,0.553318,0.536935,12.5,14,100
pmmh,matrix,0.612642,0.591358,9.09091,11,100
pmmh,matrix,0.49976,0.523168,9.09091,16,100
tracker,matrix,0.46255,0.477039,50,11,100
tracker,matrix,0.561337,0.534663,50,10,100
tracker,matrix,0.503171,0.477253,100,12,100
tracker,matrix,0.551842,0.504646,100,13,100
tracker,matrix,0.576647,0.530594,50,9,100
tracker,matrix,0.591487,0.54977,100,10,100
tracker,matrix,0.639639,0.574097,100,9,100
tracker,matrix,0.498632,0.476793,50,10,100
tracker,matrix,0.543692,0.542271,50,12,100
tracker,matrix,0.614193,0.582755,100,14,100
tracker,matrix,0.580815,0.594969,100,12,100
tracker,matrix,0.56148,0.553641,50,12,100
tracker,matrix,0.572148,0.558716,50,12,100
tracker,matrix,0.587574,0.570479,100,9,100
tracker,matrix,0.593372,0.579166,100,12,100
pmmh,motocross1,0.65165,0.567643,4.20513,14,164
pmmh,motocross1,0.677922,0.620845,3.03704,16,164
pmmh,motocross1,0.610278,0.535257,4.20513,10,164
pmmh,motocross1,0.570328,0.614639,3.09434,12,164
pmmh,motocross1,0.61548,0.584897,3.15385,25,164
pmmh,motocross1,0.62527,0.565037,3.28,20,164
pmmh,motocross1,0.597792,0.599058,3.21569,17,164
pmmh,motocross1,0.569154,0.566324,2.18667,14,164
pmmh,motocross1,0.6785,0.609204,2.82759,13,164
pmmh,motocross1,0.667856,0.615568,3.21569,19,164
pmmh,motocross1,0.581643,0.589001,3.48936,22,164
pmmh,motocross1,0.656575,0.559877,4.9697,21,164
pmmh,motocross1,0.594126,0.612341,2.82759,20,164
pmmh,motocross1,0.678927,0.593769,4.82353,21,164
pmmh,motocross1,0.589455,0.60351,2.10256,14,164
tracker,motocross1,0.55096,0.637778,16.4,16,164
tracker,motocross1,0.624335,0.547179,23.4286,17,164
tracker,motocross1,0.718267,0.559491,27.3333,14,164
tracker,motocross1,0.620957,0.618149,18.2222,13,164
tracker,motocross1,0.667026,0.621827,23.4286,13,164
tracker,motocross1,0.61116,0.593604,20.5,14,164
tracker,motocross1,0.594572,0.554435,23.4286,13,164
tracker,motocross1,0.630675,0.56329,23.4286,13,164
tracker,motocross1,0.652671,0.588443,27.3333,23,164
tracker,motocross1,0.617781,0.580231,23.4286,11,164
tracker,motocross1,0.612432,0.597979,18.2222,10,164
tracker,motocross1,0.632432,0.613333,23.4286,15,164
tracker,motocross1,0.639321,0.56456,23.4286,14,164
tracker,motocross1,0.637525,0.60358,23.4286,16,164
tracker,motocross1,0.67283,0.601878,27.3333,20,164
pmmh,motocross2,0.666191,0.663879,0.685393,2,61
pmmh,motocross2,0.479482,0.470565,0.73494,4,61
pmmh,motocross2,0.588694,0.533321,0.782051,2,61
pmmh,motocross2,0.681857,0.699424,0.968254,2,61
pmmh,motocross2,0.741484,0.66376,0.438849,2,61
pmmh,motocross2,0.517998,0.563856,0.884058,1,61
pmmh,motocross2,0.614527,0.636445,0.701149,3,61
pmmh,motocross2,0.725746,0.68018,0.73494,2,61
pmmh,motocross2,0.722444,0.785049,0.983871,1,61
pmmh,motocross2,0.637178,0.593475,0.396104,1,61
pmmh,motocross2,0.700187,0.667682,1.07018,2,61
pmmh,motocross2,0.683877,0.709552,0.685393,2,61
pmmh,motocross2,0.568456,0.587031,0.968254,3,61
pmmh,motocross2,0.592274,0.628762,0.701149,2,61
pmmh,motocross2,0.550745,0.513369,0.7625,1,61
tracker,motocross2,0.723327,0.646518,6.77778,2,61
tracker,motocross2,0.549982,0.596161,6.1,1,61
tracker,motocross2,0.634988,0.586807,6.77778,1,61
tracker,motocross2,0.769177,0.713962,3.58824,1,61
tracker,motocross2,0.51351,0.534882,5.54545,3,61
tracker,motocross2,0.680838,0.660316,6.1,2,61
tracker,motocross2,0.541372,0.608588,5.08333,1,61
tracker,motocross2,0.659148,0.568394,4.69231,3,61
tracker,motocross2,0.610266,0.620874,5.54545,2,61
tracker,motocross2,0.647577,0.668388,6.1,3,61
tracker,motocross2,0.642549,0.651994,5.54545,4,61
tracker,motocross2,0.4697,0.479766,5.08333,3,61
tracker,motocross2,0.652423,0.588827,3.58824,1,61
tracker,motocross2,0.644687,0.585444,3.58824,2,61
tracker,motocross2,0.569961,0.523668,5.54545,4,61
pmmh,nature,0.52862,0.489144,2.54847,14,999
pmmh,nature,0.559048,0.559536,1.65672,23,999
pmmh,nature,0.618746,0.605833,1.72837,35,999
pmmh,nature,0.574256,0.495857,2.775,11,999
pmmh,nature,0.531234,0.538806,2.28604,18,999
pmmh,nature,0.583299,0.489576,2.00602,17,999
pmmh,nature,0.662873,0.518863,2.12102,16,999
pmmh,nature,0.606124,0.496123,1.84317,10,999
pmmh,nature,0.508699,0.482041,2.45455,18,999
pmmh,nature,0.555635,0.477142,1.83978,10,999
pmmh,nature,0.553721,0.492009,1.88847,21,999
pmmh,nature,0.506942,0.518944,1.57075,18,999
pmmh,nature,0.568145,0.569072,2.44853,46,999
pmmh,nature,0.563274,0.524114,2.5814,28,999
pmmh,nature,0.582978,0.544524,1.73137,12,999
tracker,nature,0.543809,0.523203,14.9104,26,999
tracker,nature,0.56932,0.546824,14.4783,17,999
tracker,nature,0.555126,0.521467,14.6912,21,999
tracker,nature,0.541058,0.517904,14.9104,18,999
tracker,nature,0.534017,0.551888,13.1447,16,999
tracker,nature,0.59536,0.575655,14.0704,20,999
tracker,nature,0.609995,0.521305,15.8571,18,999
tracker,nature,0.554682,0.523601,15.1364,20,999
tracker,nature,0.590387,0.573961,13.875,13,999
tracker,nature,0.543174,0.525377,14.6912,16,999
tracker,nature,0.583451,0.494453,18.1636,39,999
tracker,nature,0.54922,0.587975,13.32,27,999
tracker,nature,0.581839,0.53736,16.1129,20,999
tracker,nature,0.575171,0.532821,15.3692,19,999
tracker,nature,0.53774,0.498386,15.1364,12,999
pmmh,octopus,0.635305,0.629885,1.09811,52,291
pmmh,octopus,0.713649,0.685389,1.33486,58,291
pmmh,octopus,0.658923,0.616211,1.39234,69,291
pmmh,octopus,0.660239,0.638639,1.14118,53,291
pmmh,octopus,0.591374,0.613988,0.79726,62,291
pmmh,octopus,0.695255,0.676151,1.34101,62,291
pmmh,octopus,0.781828,0.562327,0.957237,36,291
pmmh,octopus,0.832282,0.516847,0.979798,28,291
pmmh,octopus,0.730769,0.661173,1.22269,44,291
pmmh,octopus,0.736275,0.581656,1.34101,44,291
pmmh,octopus,0.813359,0.552831,1.05054,31,291
pmmh,octopus,0.756644,0.591144,0.906542,42,291
pmmh,octopus,0.721216,0.698973,1.31674,54,291
pmmh,octopus,0.82074,0.586274,0.912226,28,291
pmmh,octopus,0.73024,0.543314,1.00692,42,291
tracker,octopus,0.648846,0.618971,7.46154,73,291
tracker,octopus,0.669808,0.616821,6.92857,77,291
tracker,octopus,0.615406,0.600542,7.46154,76,291
tracker,octopus,0.626363,0.620982,6.76744,74,291
tracker,octopus,0.634605,0.664744,6.61364,83,291
tracker,octopus,0.644858,0.651883,6.46667,84,291
tracker,octopus,0.638406,0.636422,6.76744,79,291
tracker,octopus,0.633792,0.620284,7.275,81,291
tracker,octopus,0.63139,0.663865,6.92857,78,291
tracker,octopus,0.649057,0.631441,7.09756,76,291
tracker,octopus,0.605787,0.62089,6.92857,80,291
tracker,octopus,0.636678,0.644392,6.92857,77,291
tracker,octopus,0.583887,0.633814,5.82,80,291
tracker,octopus,0.627058,0.642009,6.19149,68,291
tracker,octopus,0.638955,0.628607,7.09756,79,291
pmmh,pedestrian1,0.574136,0.582702,17.5,16,140
pmmh,pedestrian1,0.601556,0.63093,15.5556,16,140
pmmh,pedestrian1,0.558074,0.577945,20,15,140
pmmh,pedestrian1,0.568426,0.592136,14,12,140
pmmh,pedestrian1,0.55498,0.56628,20,14,140
pmmh,pedestrian1,0.578129,0.5809,20,12,140
pmmh,pedestrian1,0.552519,0.573887,17.5,17,140
pmmh,pedestrian1,0.568066,0.561458,20,13,140
pmmh,pedestrian1,0.594858,0.609652,17.5,15,140
pmmh,pedestrian1,0.543502,0.565864,20,15,140
pmmh,pedestrian1,0.573136,0.596495,14,15,140
pmmh,pedestrian1,0.555508,0.594373,14,12,140
pmmh,pedestrian1,0.541236,0.569965,14,13,140
pmmh,pedestrian1,0.565983,0.590637,17.5,14,140
pmmh,pedestrian1,0.571677,0.589576,20,16,140
tracker,pedestrian1,0.577392,0.587091,140,17,140
tracker,pedestrian1,0.5641,0.58211,140,13,140
tracker,pedestrian1,0.546411,0.576142,70,14,140
tracker,pedestrian1,0.553711,0.561648,140,12,140
tracker,pedestrian1,0.571267,0.583851,70,12,140
tracker,pedestrian1,0.560656,0.551808,140,12,140
tracker,pedestrian1,0.530038,0.558054,140,14,140
tracker,pedestrian1,0.530137,0.558404,140,17,140
tracker,pedestrian1,0.568896,0.572702,140,15,140
tracker,pedestrian1,0.59245,0.614436,140,15,140
tracker,pedestrian1,0.548799,0.564601,140,15,140
tracker,pedestrian1,0.560631,0.569891,140,12,140
tracker,pedestrian1,0.602517,0.606673,70,13,140
tracker,pedestrian1,0.56344,0.590083,140,14,140
tracker,pedestrian1,0.55177,0.561284,140,16,140
pmmh,pedestrian2,0.840836,0.632629,10.9692,22,713
pmmh,pedestrian2,0.649197,0.562468,12.5088,44,713
pmmh,pedestrian2,0.762052,0.659454,8.69512,22,713
pmmh,pedestrian2,0.631449,0.610711,11.8833,46,713
pmmh,pedestrian2,0.741601,0.719236,7.35052,31,713
pmmh,pedestrian2,0.658377,0.630373,12.5088,62,713
pmmh,pedestrian2,0.787994,0.699472,7.66667,31,713
pmmh,pedestrian2,0.663655,0.69063,11.1406,46,713
pmmh,pedestrian2,0.704431,0.659863,7.92222,40,713
pmmh,pedestrian2,0.768403,0.712983,5.84426,28,713
pmmh,pedestrian2,0.660793,0.576844,14.26,35,713
pmmh,pedestrian2,0.634195,0.6385,10.9692,44,713
pmmh,pedestrian2,0.640475,0.598511,12.2931,45,713
pmmh,pedestrian2,0.689389,0.630899,7.50526,27,713
pmmh,pedestrian2,0.68516,0.682353,11.3175,52,713
tracker,pedestrian2,0.769903,0.689416,64.8182,7,713
tracker,pedestrian2,0.77613,0.580037,101.857,3,713
tracker,pedestrian2,0.775122,0.721966,59.4167,8,713
tracker,pedestrian2,0.801813,0.618549,89.125,2,713
tracker,pedestrian2,0.790386,0.643883,71.3,5,713
tracker,pedestrian2,0.810761,0.624151,79.2222,2,713
tracker,pedestrian2,0.835582,0.642406,89.125,4,713
tracker,pedestrian2,0.802034,0.631397,89.125,3,713
tracker,pedestrian2,0.820653,0.59412,89.125,2,713
tracker,pedestrian2,0.80212,0.633451,89.125,2,713
tracker,pedestrian2,0.77995,0.580363,89.125,4,713
tracker,pedestrian2,0.834299,0.647966,89.125,3,713
tracker,pedestrian2,0.803707,0.676123,71.3,4,713
tracker,pedestrian2,0.829166,0.649898,89.125,3,713
tracker,pedestrian2,0.803424,0.576372,89.125,1,713
pmmh,rabbit,0.517182,0.532722,15.8,45,158
pmmh,rabbit,0.49966,0.497989,26.3333,46,158
pmmh,rabbit,0.549717,0.536155,26.3333,41,158
pmmh,rabbit,0.54349,0.543974,26.3333,41,158
pmmh,rabbit,0.587207,0.546345,19.75,42,158
pmmh,rabbit,0.57697,0.525162,19.75,39,158
pmmh,rabbit,0.520494,0.527292,17.5556,42,158
pmmh,rabbit,0.530324,0.524207,17.5556,48,158
pmmh,rabbit,0.551599,0.525735,22.5714,40,158
pmmh,rabbit,0.519841,0.504118,17.5556,43,158
pmmh,rabbit,0.563869,0.531684,26.3333,42,158
pmmh,rabbit,0.511481,0.503383,22.5714,40,158
pmmh,rabbit,0.569889,0.537086,22.5714,40,158
pmmh,rabbit,0.537495,0.533614,26.3333,47,158
pmmh,rabbit,0.556637,0.534129,26.3333,42,158
tracker,rabbit,0.542533,0.536829,79,40,158
tracker,rabbit,0.529557,0.529166,158,40,158
tracker,rabbit,0.542515,0.549772,158,43,158
tracker,rabbit,0.504073,0.508808,158,37,158
tracker,rabbit,0.55995,0.546091,79,37,158
tracker,rabbit,0.512413,0.516177,158,47,158
tracker,rabbit,0.542807,0.547161,158,46,158
tracker,rabbit,0.510937,0.492136,158,41,158
tracker,rabbit,0.512359,0.499325,158,43,158
tracker,rabbit,0.52297,0.527799,158,44,158
tracker,rabbit,0.535643,0.52925,79,39,158
tracker,rabbit,0.541689,0.520058,158,38,158
tracker,rabbit,0.545252,0.524367,158,45,158
tracker,rabbit,0.51305,0.518187,158,48,158
tracker,rabbit,0.53147,0.522706,158,44,158
pmmh,racing,0.540603,0.625039,3.54545,7,156
pmmh,racing,0.62365,0.488345,4.72727,6,156
pmmh,racing,0.655133,0.616337,4.58824,6,156
pmmh,racing,0.689385,0.58033,2.83636,4,156
pmmh,racing,0.508556,0.556606,2.68966,9,156
pmmh,racing,0.589459,0.634138,3.62791,5,156
pmmh,racing,0.641668,0.622101,4.21622,6,156
pmmh,racing,0.499627,0.58549,3.3913,10,156
pmmh,racing,0.667668,0.579007,2.83636,4,156
pmmh,racing,0.572832,0.608185,3.9,13,156
pmmh,racing,0.710921,0.58035,2.83636,4,156
pmmh,racing,0.496505,0.52832,2.68966,8,156
pmmh,racing,0.588867,0.506048,2.22857,3,156
pmmh,racing,0.627798,0.580901,4.45714,8,156
pmmh,racing,0.564752,0.580232,3.9,7,156
tracker,racing,0.641093,0.559306,22.2857,8,156
tracker,racing,0.768283,0.420914,39,3,156
tracker,racing,0.76496,0.410568,39,2,156
tracker,racing,0.675731,0.552653,26,5,156
tracker,racing,0.5983,0.532169,26,6,156
tracker,racing,0.571596,0.538209,22.2857,5,156
tracker,racing,0.754783,0.404469,52,3,156
tracker,racing,0.589084,0.601212,22.2857,8,156
tracker,racing,0.664343,0.537828,26,4,156
tracker,racing,0.744107,0.574805,22.2857,2,156
tracker,racing,0.51727,0.593435,17.3333,6,156
tracker,racing,0.753872,0.612465,26,3,156
tracker,racing,0.761084,0.405969,52,2,156
tracker,racing,0.569627,0.628969,19.5,5,156
tracker,racing,0.617942,0.543225,19.5,5,156
pmmh,road,0.649795,0.666237,9.62069,33,558
pmmh,road,0.634246,0.675415,9.78947,46,558
pmmh,road,0.675964,0.676083,9.78947,32,558
pmmh,road,0.697032,0.698864,9.78947,36,558
pmmh,road,0.606188,0.650357,9.78947,46,558
pmmh,road,0.608043,0.657343,9.3,35,558
pmmh,road,0.666061,0.642946,9.45763,28,558
pmmh,road,0.63779,0.679474,12.6818,33,558
pmmh,road,0.616305,0.659657,9.78947,43,558
pmmh,road,0.647473,0.693391,12.6818,32,558
pmmh,road,0.67942,0.659991,9.78947,31,558
pmmh,road,0.659773,0.705802,13.2857,37,558
pmmh,road,0.652983,0.671372,9.62069,35,558
pmmh,road,0.680512,0.705761,9.3,24,558
pmmh,road,0.650352,0.687533,9.62069,41,558
tracker,road,0.603685,0.639063,79.7143,31,558
tracker,road,0.69168,0.694846,93,28,558
tracker,road,0.659193,0.669953,93,26,558
tracker,road,0.642754,0.677433,79.7143,37,558
tracker,road,0.662317,0.679458,79.7143,37,558
tracker,road,0.653195,0.684597,93,37,558
tracker,road,0.600957,0.628521,79.7143,29,558
tracker,road,0.680172,0.723154,79.7143,33,558
tracker,road,0.694213,0.679572,79.7143,31,558
tracker,road,0.673908,0.701402,93,28,558
tracker,road,0.668581,0.726042,79.7143,24,558
tracker,road,0.687662,0.720354,79.7143,33,558
tracker,road,0.627934,0.643736,79.7143,32,558
tracker,road,0.641763,0.645339,93,30,558
tracker,road,0.601314,0.633642,79.7143,27,558
pmmh,shaking,0.573462,0.58533,9.35897,46,365
pmmh,shaking,0.561642,0.565132,8.90244,37,365
pmmh,shaking,0.564361,0.56941,9.125,37,365
pmmh,shaking,0.560765,0.560042,5.36765,24,365
pmmh,shaking,0.571619,0.569021,5.44776,27,365
pmmh,shaking,0.50447,0.527676,5.28986,29,365
pmmh,shaking,0.548371,0.587607,5.06944,25,365
pmmh,shaking,0.552947,0.579063,8.90244,36,365
pmmh,shaking,0.579079,0.600167,8.90244,33,365
pmmh,shaking,0.51972,0.524891,5.36765,25,365
pmmh,shaking,0.5876,0.58613,5.36765,24,365
pmmh,shaking,0.542118,0.550462,8.90244,38,365
pmmh,shaking,0.548408,0.559152,9.125,39,365
pmmh,shaking,0.527679,0.554662,5.14085,22,365
pmmh,shaking,0.563231,0.560659,9.35897,34,365
tracker,shaking,0.607076,0.621879,45.625,29,365
tracker,shaking,0.548306,0.571389,40.5556,31,365
tracker,shaking,0.572955,0.603508,45.625,30,365
tracker,shaking,0.573557,0.582475,45.625,31,365
tracker,shaking,0.58267,0.587432,45.625,33,365
tracker,shaking,0.550915,0.584553,45.625,32,365
tracker,shaking,0.559288,0.582607,40.5556,22,365
tracker,shaking,0.596575,0.622849,40.5556,31,365
tracker,shaking,0.573314,0.593808,45.625,28,365
tracker,shaking,0.594364,0.626686,45.625,26,365
tracker,shaking,0.573027,0.598611,40.5556,28,365
tracker,shaking,0.586625,0.603354,45.625,30,365
tracker,shaking,0.571251,0.600754,40.5556,34,365
tracker,shaking,0.579121,0.597943,45.625,32,365
tracker,shaking,0.574951,0.583779,40.5556,29,365
pmmh,sheep,0.545325,0.536795,16.7333,7,251
pmmh,sheep,0.580827,0.526318,17.9286,4,251
pmmh,sheep,0.549997,0.5535,11.4091,5,251
pmmh,sheep,0.504539,0.521557,10.913,10,251
pmmh,sheep,0.906787,0.505959,16.7333,0,251
pmmh,sheep,0.588949,0.568439,17.9286,4,251
pmmh,sheep,0.592956,0.550977,16.7333,5,251
pmmh,sheep,0.567203,0.533187,16.7333,6,251
pmmh,sheep,0.627441,0.649844,15.6875,6,251
pmmh,sheep,0.620083,0.578341,11.4091,4,251
pmmh,sheep,0.629547,0.564309,16.7333,5,251
pmmh,sheep,0.638334,0.584686,16.7333,5,251
pmmh,sheep,0.55213,0.526336,11.4091,4,251
pmmh,sheep,0.586814,0.53604,17.9286,6,251
pmmh,sheep,0.558523,0.56429,16.7333,4,251
tracker,sheep,0.558245,0.584139,125.5,7,251
tracker,sheep,0.481136,0.511241,83.6667,6,251
tracker,sheep,0.536625,0.531773,83.6667,8,251
tracker,sheep,0.575596,0.574793,83.6667,11,251
tracker,sheep,0.566956,0.565988,83.6667,6,251
tracker,sheep,0.594139,0.546343,83.6667,7,251
tracker,sheep,0.566978,0.511307,83.6667,5,251
tracker,sheep,0.658751,0.561562,83.6667,2,251
tracker,sheep,0.615376,0.55376,83.6667,6,251
tracker,sheep,0.599705,0.492354,125.5,6,251
tracker,sheep,0.54952,0.54909,125.5,5,251
tracker,sheep,0.497244,0.520142,83.6667,6,251
tracker,sheep,0.609705,0.587612,83.6667,5,251
tracker,sheep,0.564617,0.468321,125.5,4,251
tracker,sheep,0.518736,0.463228,125.5,4,251
pmmh,singer1,0.727667,0.808983,3.25,9,351
pmmh,singer1,0.505969,0.713926,2.72093,6,351
pmmh,singer1,0.769991,0.8586,3.13393,7,351
pmmh,singer1,0.626486,0.736261,4.94366,14,351
pmmh,singer1,0.617885,0.752666,4.80822,11,351
pmmh,singer1,0.56434,0.64106,5.01429,12,351
pmmh,singer1,0.611359,0.725031,3.02586,4,351
pmmh,singer1,0.580445,0.802749,4.03448,6,351
pmmh,singer1,0.737452,0.839601,3,8,351
pmmh,singer1,0.562924,0.788594,2.67939,6,351
pmmh,singer1,0.741119,0.835839,2.97458,5,351
pmmh,singer1,0.529199,0.597627,5.01429,15,351
pmmh,singer1,0.671513,0.736279,5.01429,18,351
pmmh,singer1,0.679301,0.737595,5.08696,15,351
pmmh,singer1,0.616959,0.686059,4.74324,14,351
tracker,singer1,0.7532,0.840334,23.4,3,351
tracker,singer1,0.74885,0.855201,23.4,3,351
tracker,singer1,0.7758,0.881833,25.0714,2,351
tracker,singer1,0.706813,0.861019,23.4,3,351
tracker,singer1,0.742764,0.830027,25.0714,3,351
tracker,singer1,0.764223,0.861578,25.0714,3,351
tracker,singer1,0.775147,0.864548,23.4,2,351
tracker,singer1,0.514462,0.622697,23.4,3,351
tracker,singer1,0.775492,0.881735,25.0714,2,351
tracker,singer1,0.78272,0.873246,23.4,3,351
tracker,singer1,0.752538,0.85146,25.0714,3,351
tracker,singer1,0.777229,0.869509,23.4,3,351
tracker,singer1,0.768076,0.856777,25.0714,2,351
tracker,singer1,0.750013,0.861842,23.4,3,351
tracker,singer1,0.764342,0.848288,23.4,2,351
pmmh,singer2,0.809967,0.628732,3.32727,11,366
pmmh,singer2,0.812622,0.617687,2.37662,9,366
pmmh,singer2,0.767083,0.734303,2.69118,13,366
pmmh,singer2,0.799904,0.636915,2.25926,14,366
pmmh,singer2,0.80658,0.678047,2.0221,11,366
pmmh,singer2,0.782059,0.694712,2.04469,11,366
pmmh,singer2,0.809773,0.670425,2.17857,8,366
pmmh,singer2,0.83022,0.63145,2.33121,9,366
pmmh,singer2,0.819819,0.637208,3.3578,12,366
pmmh,singer2,0.768167,0.710762,2.67153,10,366
pmmh,singer2,0.75669,0.730913,1.7767,9,366
pmmh,singer2,0.783001,0.666225,2.88189,11,366
pmmh,singer2,0.799358,0.709141,1.92632,10,366
pmmh,singer2,0.772699,0.707514,2.79389,13,366
pmmh,singer2,0.81222,0.628393,3.3578,12,366
tracker,singer2,0.7718,0.626893,19.2632,14,366
tracker,singer2,0.760158,0.737445,15.913,13,366
tracker,singer2,0.757546,0.733399,15.913,13,366
tracker,singer2,0.767309,0.679686,18.3,11,366
tracker,singer2,0.806942,0.625837,20.3333,11,366
tracker,singer2,0.782737,0.71008,17.4286,9,366
tracker,singer2,0.788539,0.635851,19.2632,14,366
tracker,singer2,0.778345,0.665908,18.3,13,366
tracker,singer2,0.812841,0.686858,18.3,11,366
tracker,singer2,0.800912,0.63606,20.3333,15,366
tracker,singer2,0.75958,0.662107,17.4286,13,366
tracker,singer2,0.807774,0.652813,19.2632,8,366
tracker,singer2,0.80128,0.683812,17.4286,12,366
tracker,singer2,0.772003,0.598634,19.2632,9,366
tracker,singer2,0.78753,0.748221,16.6364,11,366
pmmh,singer3,0.645572,0.548751,1.28431,6,131
pmmh,singer3,0.715077,0.492852,2.42593,6,131
pmmh,singer3,0.644921,0.572231,0.949275,7,131
pmmh,singer3,0.65233,0.641535,1.45556,9,131
pmmh,singer3,0.641118,0.563892,0.89726,9,131
pmmh,singer3,0.637244,0.634461,1.52326,8,131
pmmh,singer3,0.653112,0.566694,1.59756,4,131
pmmh,singer3,0.678884,0.589781,1.21296,8,131
pmmh,singer3,0.685346,0.619186,0.949275,8,131
pmmh,singer3,0.755835,0.643365,1.47191,7,131
pmmh,singer3,0.607831,0.61226,1.39362,7,131
pmmh,singer3,0.658611,0.625401,0.845161,6,131
pmmh,singer3,0.64818,0.568665,1.15929,6,131
pmmh,singer3,0.709828,0.598029,0.861842,6,131
pmmh,singer3,0.621566,0.562498,1.43956,10,131
tracker,singer3,0.69145,0.549791,8.73333,5,131
tracker,singer3,0.707427,0.611426,8.1875,6,131
tracker,singer3,0.729601,0.622441,6.2381,5,131
tracker,singer3,0.717446,0.646964,8.73333,6,131
tracker,singer3,0.694918,0.634744,9.35714,5,131
tracker,singer3,0.656137,0.584312,7.70588,5,131
tracker,singer3,0.631262,0.663917,8.73333,6,131
tracker,singer3,0.686259,0.635225,6.89474,6,131
tracker,singer3,0.677839,0.487305,11.9091,4,131
tracker,singer3,0.626779,0.624058,8.1875,7,131
tracker,singer3,0.699904,0.605753,6.89474,5,131
tracker,singer3,0.74125,0.583317,8.73333,4,131
tracker,singer3,0.660405,0.595345,7.70588,7,131
tracker,singer3,0.700946,0.517218,9.35714,3,131
tracker,singer3,0.784781,0.592062,8.1875,5,131
pmmh,soccer1,0.559769,0.589213,8.16667,20,392
pmmh,soccer1,0.552283,0.564495,6.03077,22,392
pmmh,soccer1,0.54004,0.587083,8,28,392
pmmh,soccer1,0.526106,0.572259,5.93939,32,392
pmmh,soccer1,0.530136,0.569726,7.84,28,392
pmmh,soccer1,0.492329,0.533796,8.16667,25,392
pmmh,soccer1,0.575375,0.573429,8.90909,25,392
pmmh,soccer1,0.524746,0.543542,8.71111,33,392
pmmh,soccer1,0.50841,0.579696,7.39623,26,392
pmmh,soccer1,0.486104,0.526918,5.6,24,392
pmmh,soccer1,0.5636,0.578432,8.52174,22,392
pmmh,soccer1,0.542701,0.57553,8.16667,21,392
pmmh,soccer1,0.48847,0.520365,6.03077,22,392
pmmh,soccer1,0.565056,0.552799,6.53333,26,392
pmmh,soccer1,0.507715,0.563118,7.68627,27,392
tracker,soccer1,0.479584,0.51262,49,29,392
tracker,soccer1,0.512257,0.571067,49,24,392
tracker,soccer1,0.494953,0.5409,49,27,392
tracker,soccer1,0.547921,0.567263,49,25,392
tracker,soccer1,0.540051,0.575749,49,23,392
tracker,soccer1,0.543158,0.573141,49,21,392
tracker,soccer1,0.584609,0.583194,56,19,392
tracker,soccer1,0.518006,0.536769,49,30,392
tracker,soccer1,0.4862,0.556971,39.2,21,392
tracker,soccer1,0.592132,0.62142,56,33,392
tracker,soccer1,0.501413,0.559862,43.5556,22,392
tracker,soccer1,0.507358,0.54366,56,26,392
tracker,soccer1,0.565228,0.575477,49,17,392
tracker,soccer1,0.5383,0.575279,49,17,392
tracker,soccer1,0.569982,0.595052,49,26,392
pmmh,soccer2,0.524631,0.548635,21.5,23,129
pmmh,soccer2,0.514451,0.53349,18.4286,25,129
pmmh,soccer2,0.523051,0.550299,21.5,21,129
pmmh,soccer2,0.485292,0.522598,21.5,25,129
pmmh,soccer2,0.511478,0.538792,16.125,23,129
pmmh,soccer2,0.553268,0.575358,21.5,24,129
pmmh,soccer2,0.518923,0.552507,21.5,24,129
pmmh,soccer2,0.515388,0.53182,21.5,23,129
